time	insolation_65N
777	471.6369769
776	472.5155889
775	475.0542284
774	478.7792039
773	483.2438199
772	487.8849902
771	491.96186
770	495.0914238
769	496.8427554
768	496.9042074
767	495.3917546
766	492.5216016
765	488.491218
764	484.0869986
763	479.6571161
762	475.855355
761	473.1173653
760	471.8625668
759	472.0766091
758	473.9937059
757	477.2747295
756	481.5813588
755	486.575546
754	491.6663427
753	496.3219116
752	500.2025685
751	502.9539347
750	504.2708453
749	504.4570428
748	503.4158254
747	501.6180229
746	499.4626116
745	497.4112925
744	495.7418494
743	495.0632948
742	495.3149727
741	496.6639921
740	499.0829019
739	502.1262425
738	505.4598922
737	508.6736648
736	511.0239378
735	512.1380599
734	511.5997923
733	509.0755755
732	504.5578029
731	498.3405864
730	490.6331255
729	482.1941811
728	473.6856588
727	465.8337379
726	459.3290797
725	454.9602477
724	452.8977441
723	453.6254463
722	457.0671174
721	462.91625
720	470.791302
719	480.0559381
718	489.7261506
717	499.0614208
716	507.1647107
715	513.1438345
714	516.5706478
713	517.1548593
712	514.7538572
711	509.8645753
710	503.0220628
709	494.8385424
708	486.4107604
707	478.4960191
706	471.8224199
705	467.2558783
704	465.1503972
703	465.7348861
702	469.2226285
701	475.2603039
700	483.4321417
699	493.1967758
698	503.7071041
697	513.9073368
696	523.1333807
695	530.2116165
694	534.5176407
693	535.6197419
692	533.1845664
691	527.3628102
690	518.7268128
689	507.8041448
688	495.5941171
687	483.13844
686	471.3130303
685	461.0770243
684	453.2065846
683	448.1744311
682	446.2601861
681	447.6408875
680	451.9788594
679	458.8908285
678	467.9093654
677	478.0188529
676	488.5444921
675	498.5466617
674	507.1475289
673	513.690213
672	517.8223512
671	519.1097882
670	517.8209936
669	514.2261637
668	508.7694605
667	502.1780923
666	495.2323177
665	488.4346584
664	482.5576815
663	478.0632106
662	475.0951017
661	474.0119666
660	474.6297427
659	476.7642085
658	480.1689457
657	484.4252207
656	489.016804
655	493.6109324
654	497.7856794
653	501.1424439
652	503.6322761
651	505.0586198
650	505.4272828
649	504.9278511
648	503.6874201
647	501.7967354
646	499.6197507
645	497.1400578
644	494.5021137
643	491.8065926
642	488.9751826
641	486.0151157
640	482.9419306
639	479.734569
638	476.4248485
637	473.2428489
636	470.3005225
635	467.8781411
634	466.3401122
633	465.9121264
632	466.9051173
631	469.5681683
630	473.924396
629	479.9821278
628	487.5497388
627	496.2446482
626	505.5039709
625	514.7532608
624	523.1339246
623	529.9607497
622	534.4901879
621	536.1907844
620	534.6618186
619	530.008318
618	522.2820627
617	512.1942381
616	500.4493705
615	488.0117007
614	475.872814
613	465.0765767
612	456.4238478
611	450.6327431
610	448.1941836
609	449.2302859
608	453.6935516
607	461.2421629
606	471.1290445
605	482.5584631
604	494.4082541
603	505.5324963
602	514.79552
601	521.272639
600	524.1558776
599	523.2820203
598	518.5630217
597	510.6461957
596	500.2099894
595	488.4273196
594	476.368908
593	465.2307725
592	456.0053196
591	449.5381886
590	446.399133
589	446.879446
588	451.0794479
587	458.6338752
586	469.1809394
585	481.8444882
584	495.7794308
583	509.8599111
582	523.091408
581	534.2449833
580	542.6686071
579	547.5023462
578	548.5575867
577	545.8092308
576	539.5564368
575	530.4478089
574	519.3245478
573	507.0642588
572	494.6649509
571	483.0028949
570	472.8480404
569	464.7418574
568	459.1670714
567	456.1823037
566	455.8587146
565	457.9292851
564	462.0313423
